Source/Request	Already?	Know? (grade)	POPULAR	Title	APP	Artist	Other Artist	Year	Other year	Duplicate	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
				Not the Same	Y	Ben Folds		0			00s												PV
				Rockin’ the Suburbs	Y	Ben Folds		0			00s												PV
				Still Fighting It 	Y	Ben Folds		0			00s												Piano transcription
				The Ascent of Stan	Y	Ben Folds		0			00s												PV
				The Luckiest	Y	Ben Folds		0			00s												PV
				Trusted	Y	Ben Folds		0			00s												Piano transcription
				Zak and Sara	Y	Ben Folds		0			00s												PV
				Alice Childress  	Y	Ben Folds Five		9			90s												Piano transcription
Tuzzy Braddy/Tuz Piano 6/7/16				Army	Y	Ben Folds Five		9			90s												yes
				Battle of Who Could Care Less	Y	Ben Folds Five		9			90s												Piano transcription
				Best Imitation of Myself 	Y	Ben Folds Five		9			90s												Piano transcription
				Brick	Y	Ben Folds Five		9			90s												BF Scores
				Don't Change Your Plans	Y	Ben Folds Five		9			90s												BF Scores
				Eddie Walker	Y	Ben Folds Five		9			90s												BF Scores
				Emaline	Y	Ben Folds Five		9			90s												BF Scores
				Evaporated	Y	Ben Folds Five		9			90s												BF Scores
				Hospital Song	Y	Ben Folds Five		9			90s												BF Scores
				Jackson Cannery	Y	Ben Folds Five		9			90s												BF Scores
				Kate  	Y	Ben Folds Five		9			90s												Piano transcription
				Mess	Y	Ben Folds Five		9			90s												BF Scores
				Missing the War	Y	Ben Folds Five		9			90s												BF Scores
				One Angry Dwarf and 200 Solemn Faces	Y	Ben Folds Five		9			90s												BF Scores
				Philosophy	Y	Ben Folds Five		9			90s												BF Scores
				Selfless, Cold and Composed	Y	Ben Folds Five		9			90s												BF Scores
				Song For the Dumped 	Y	Ben Folds Five		9			90s												Piano transcription
				Steven's Last Night in Town	Y	Ben Folds Five		9			90s												BF Scores
				The Battle of Who Should Care Less	Y	Ben Folds Five		9			90s												BF Scores
				The Last Polka	Y	Ben Folds Five		9			90s												BF Scores
				Tom and Mary	Y	Ben Folds Five		9			90s												BF Scores
				Uncle Walter 	Y	Ben Folds Five		9			90s												Piano transcription
				Underground	Y	Ben Folds Five		9			90s												BF Scores
				Video	Y	Ben Folds Five		9			90s												BF Scores
				Your Redneck Past	Y	Ben Folds Five		9			90s												BF Scores
				Take My Breath Away	Y	Berlin ^^ Top Gun	Top Gun	8															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Good	Y	Better Than Ezra		9			90s												yes
				The Shoop Shoop Song (It's In His Kiss)	Y	Betty Everett		6															RBF
				(I've Had) The Time Of My Life		Bill Medley, Jennifer Warnes		1987															PRF
				Mony, Mony	Y	Billy Idol		8															CRF
				52nd Street	Y	Billy Joel		1978				Rock music, Jazz fusion											BJC
			Y	A Matter Of Trust	Y	Billy Joel																	BJC
				A Room Of Our Own	Y	Billy Joel		1982				Pop											BJC
				Ain't No Crime	Y	Billy Joel		1973				Singer-songwriter, Pop											BJC
				All For Leyna	Y	Billy Joel		1980				Pop											BJC
				All You Wanna Do Is Dance	Y	Billy Joel		1976				Pop											BJC
				Allentown	Y	Billy Joel		1982				Pop											CRF
				An Innocent Man	Y	Billy Joel		1983				Pop											BJC
			Y	And So It Goes	Y	Billy Joel																	BJC
			Y	Angry Young Man	Y	Billy Joel		7															BJC
				Baby Grand	Y	Billy Joel		1986				Adult contemporary											BJC
				Big Man On Mulberry Street	Y	Billy Joel		1986				Adult contemporary											BJC
			Y	Big Shot	Y	Billy Joel																	BJC
				C'etait Toi (You Were The One)	Y	Billy Joel		1980				Pop											BJC
			Y	Captain Jack	Y	Billy Joel		7															BJC
				Careless Talk	Y	Billy Joel		8															BJC
				Christie Lee	Y	Billy Joel		8															BJC
				Close To The Borderline	Y	Billy Joel																	BJC
				Code Of Silence	Y	Billy Joel																	BJC
				Don't Ask Me Why	Y	Billy Joel		7															BJC
				Easy Money	Y	Billy Joel		8															BJC
				Everybody Has A Dream	Y	Billy Joel		7															BJC
				Everybody Loves You Now	Y	Billy Joel		7															BJC
				Falling Of The Rain	Y	Billy Joel																	BJC
				Get It Right The First Time	Y	Billy Joel		7															BJC
				Getting Closer	Y	Billy Joel		8															BJC
			Y	Goodnight Saigon	Y	Billy Joel																	BJC
				Got To Begin Again	Y	Billy Joel																	BJC
				Half A Mile Away	Y	Billy Joel		7															BJC
				Honesty	Y	Billy Joel		1978				Pop											CRF
				I Don't Want To Be Alone	Y	Billy Joel		8															BJC
				I Go To Extremes	Y	Billy Joel		9															BJC
				I've Loved These Days	Y	Billy Joel		7															BJC
				If I Only Had The Words (To Tell You)	Y	Billy Joel		7															BJC
				It's Still Rock And Roll To Me	Y	Billy Joel		7															CRF
				James	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Just the Way You Are	Y	Billy Joel		7			60-70												yes
				Keeping The Faith	Y	Billy Joel		8															BJC
				Last Of The Big Time Spenders	Y	Billy Joel		7															BJC
				Laura	Y	Billy Joel		7															BJC
				Leave A Tender Moment Alone	Y	Billy Joel		8															BJC
				Leningrad	Y	Billy Joel		9															BJC
				Los Angelenos	Y	Billy Joel		7															BJC
				Miami 2017 (Seen The Lights Go Out On Broadway)	Y	Billy Joel		7															BJC
				Modern Woman	Y	Billy Joel																	BJC
			Y	Movin' Out (Anthony's Song)	Y	Billy Joel			7														BJC
			Y	My Life	Y	Billy Joel		7															BJC
			Y	New York State Of Mind	Y	Billy Joel		7															BJC
				Nocturne	Y	Billy Joel		7															BJC
			Y	Only The Good Die Young	Y	Billy Joel		7															BJC
05/14/16 Fleischman party	X			Piano Man	Y	Billy Joel		7					X										
				Prelude/Angry Young Man	Y	Billy Joel		7															BJC
				Roberta	Y	Billy Joel																	BJC
				Root Beer Rag	Y	Billy Joel		7															BJC
				Rosalinda's Eyes	Y	Billy Joel		7															BJC
				Running On Ice	Y	Billy Joel		8															BJC
			Y	Say Goodbye To Hollywood	Y	Billy Joel		7															BJC
				Scandinavian Skies	Y	Billy Joel		7															BJC
05/14/16 Fleischman party	X			Scenes From an Italian Restaurant	Y	Billy Joel		7					X										BJC
				Shameless	Y	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16				She's Always A Woman	Y	Billy Joel		7			60-70												yes
			Y	She's Got A Way	Y	Billy Joel		7															BJC
				She's Right On Time	Y	Billy Joel		8															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				She’s Got A Way	Y	Billy Joel		7			70s												yes
				Sleeping With The Television On	Y	Billy Joel		8															BJC
				Sometimes A Fantasy	Y	Billy Joel		8															BJC
				Somewhere Along The Line	Y	Billy Joel		7															BJC
				Souvenir	Y	Billy Joel		7															BJC
				State Of Grace	Y	Billy Joel		9															BJC
				Stiletto	Y	Billy Joel		7															BJC
				Stop In Nevada	Y	Billy Joel		7															BJC
				Storm Front	Y	Billy Joel		9															BJC
				Streetlife Serenader	Y	Billy Joel		7															BJC
			Y	Summer, Highland Falls	Y	Billy Joel		7															BJC
				Surprises	Y	Billy Joel		8															BJC
			Y	Tell Her About It	Y	Billy Joel		8															BJC
				Temptation	Y	Billy Joel		8															BJC
				That's Not Her Style	Y	Billy Joel		9															BJC
				The Ballad Of Billy The Kid	Y	Billy Joel		1973				Singer-songwriter, Pop											BJC
				The Downeaster “Alexa”	Y	Billy Joel		9															BJC
				The Entertainer	Y	Billy Joel																	BJC
				The Great Suburban Showdown	Y	Billy Joel		1974				Singer-songwriter											BJC
			Y	The Longest Time	Y	Billy Joel		8															BJC
				The Mexican Connection	Y	Billy Joel		1974				Singer-songwriter											BJC
05/14/16 Fleischman party	X			The River of Dreams	Y	Billy Joel		9															
				The Stranger	Y	Billy Joel		7															BJC
				This Is The Time	Y	Billy Joel		8															BJC
				This Night	Y	Billy Joel		8															BJC
				Through The Long Night	Y	Billy Joel		8															BJC
				Tomorrow Is Today	Y	Billy Joel		7															BJC
				Travelin' Prayer	Y	Billy Joel		7															BJC
				Turn Around	Y	Billy Joel																	BJC
				Until The Night	Y	Billy Joel		7															BJC
05/14/16 Fleischman party	X			Uptown Girl	Y	Billy Joel		8															
			Y	Vienna	Y	Billy Joel		7															BJC
			Y	We Didn't Start The Fire	Y	Billy Joel		9															BJC
				Weekend Song	Y	Billy Joel		7															BJC
				When In Rome	Y	Billy Joel		8															BJC
				Where's The Orchestra?	Y	Billy Joel		8															BJC
				Why Judy Why	Y	Billy Joel		7															BJC
				Worse Comes To Worst	Y	Billy Joel		7															BJC
				You Can Make Me Free	Y	Billy Joel		7															BJC
				You Look So Good To Me	Y	Billy Joel		7															BJC
			Y	You May Be Right	Y	Billy Joel		8															BJC
			Y	You're My Home	Y	Billy Joel		7															BJC
				Zanzibar	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				I Gotta Feelin'	Y	Black Eyed Peas		1			10s												yes
				Iron Man		Black Sabbath																	CRF
				Paranoid		Black Sabbath																	CRF
				Light In Your Eyes		Blessid Union of Souls																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16				All the Small Things	Y	Blink 182		9			90s												yes
				Spinning Wheel		Blood, Sweat & Tears																	CRF
				You've Made Me So Very Happy		Blood, Sweat & Tears																	CRF
		B		Burning For You	Y	Blue Oyster Cult		1981				Classic Rock											CRF
				Don't Fear The Reaper	Y	Blue Oyster Cult		1976				Classic rock											CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Hook	Y	Blues Traveler		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Run Around	Y	Blues Traveler		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Three Little Birds	Y	Bob Marley		6			60-70												yes
				I Shot The Sheriff	Y	Bob Marley ^^ Eric Clapton		6															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				No Woman No Cry	Y	Bob Marley ^^ The Fugees		7 ^^ 9			60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Old Time Rock And Roll	Y	Bob Seeger		7			70s				Etzel								yes
				Shakedown		Bob Seger																	CRF
				Beyond The Sea	Y	Bobby Darin		1959				Jazz											PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Don't Worry Be Happy	Y	Bobby McFerrin		8			80s												yes
PRF 3rd only				Blue Velvet	Y	Bobby Vinton		1963				Rock											PRF
PRF 3rd only	X	A		Always	Y	Bon Jovi		9			90s				Brillant								PRF
				Livin' On A Prayer	Y	Bon Jovi		8					X										CRF
		B		Wanted Dead or Alive	Y	Bon Jovi		8			80s				Brillant					lyrics done, needs chords			TO LEARN
		C		You Give Love A Bad Name	Y	Bon Jovi		8			80s				Brillant								CRF
				Amanda	Y	Boston		1986				Classic rock, Pop											CRF
				I'll Make Love To You	Y	Boys II Men		9															RBF
				4 Seasons Of Loneliness		Boyz II Men		1997															RBF
				End Of The Road	Y	Boyz II Men																	RBF
				It's So Hard To Say Goodbye To Yesterday		Boyz II Men																	RBF
				On Bended Knee	Y	Boyz II Men		9			90s	R&B											
PRF 3rd only				Water Runs Dry	Y	Boyz II Men		9															PRF
				One Sweet Day	Y	Boyz II Men ^^ Mariah Carey	Mariah Carey	9															RBF
				Lido Shuffle		Boz Scaggs																	CRF
				Lowdown		Boz Scaggs																	RBF
				Sittin' Up In My Room	Y	Brandy		9															RBF
				The Boy Is Mine	Y	Brandy & Monica		9															RBF
				Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini	Y	Brian Hyland																	PRF
				A Rainy Night In Georgia		Brook Benton		1970															RBF
05/14/16 Fleischman party				Born To Run	Learn!	Bruce Springsteen		1975				Rock										X	LC
				Born in the USA	Y	Bruce Springsteen		1984				Rock											
				Glory Days 	Y	Bruce Springsteen		1984				Classic rock											PRF
05/14/16 Fleischman party	X			Hungry Heart	Y	Bruce Springsteen		1980				Rock											
05/14/16 Fleischman party	X			Thunder Road	Y	Bruce Springsteen		7					X										
Tuzzy Braddy/Tuz Piano 6/7/16				Grenade	Y	Bruno Mars		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Just the Way You Are	Y	Bruno Mars		1			10s												yes
				Marry You 	Y	Bruno Mars		10															
Tuzzy Braddy/Tuz Piano 6/7/16				Treasure	Y	Bruno Mars		1			10s												yes
				It's Only Love		Bryan Adams																	CRF
				Run To You		Bryan Adams																	CRF
		A		Summer Of '69	Y	Bryan Adams		8			80s		X		Brillant								CRF
Tuzzy Braddy/Tuz Piano 6/7/16				For What It's Worth	Y	Buffalo Springfield		6			60s												yes
				(They Long To Be) Close To You	Y	Burt Bacharach		1970															PRF
				Raindrops Keep Fallin' On My Head	Y	Burt Bacharach ^^ Dionne Warwick	Dionne Warwick	6															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Call Me Maybe	Y	Carly Rae Jepsen		1			10s												yes
PRF 3rd only				You're So Vain	Y	Carly Simon		7															PRF
				You've Got A Friend	Y	Carole King ^^ James Taylor		7															PRF
				One Fine Day	Y	Carole King ^^ The Chiffons		6															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Before He Cheats	Y	Carrie Underwood		0			00s	Country		X	Etzel								yes
Tuzzy Braddy/Tuz Piano 6/7/16				Wild World	Y	Cat Stevens		6			60-70												yes
				Memory (from CATS)	Y	Cats		8															PRF
05/07/16 Irizarry wedding	X	A		Have you ever seen the rain	Y	CCR		1970				Classic Rock											LC
05/14/16 Fleischman party	X			Forget You	Y	CeeLo Green		2010				Pop											
PRF 3rd only				It's All Coming Back to Me Now	Y	Celine Dion		9															PRF
PRF 4th only				My Heart Will Go On (Love Theme From 'Titanic')	Y	Celine Dion		9				Movie/TV Themes											PRF 4th (don't have)
				I Want You To Want Me	Y	Cheap Trick																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Surrender	Y	Cheap Trick		8			80s												yes
				The Twist	Y	Chubby Checker		6															RBF
				No Particular Place To Go	Y	Chuck Berry		6															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Brighter Than The Sun	Y	Colbie Caillat		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Viva La Vida	Y	Coldplay		0			00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Yellow	Y	Coldplay		0			00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				She Said	Y	Collective Soul		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Long December	Y	Counting Crows		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Mr. Jones	Y	Counting Crows		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Zombie	Y	Cranberries, the		9			90s												yes
				Sunshine Of Your Love	Y	Cream		6															CRF
				White Room	Y	Cream		6															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Bad Moon Risin'	Y	Creedence Clearwater Revival		6			60s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Down On The Corner	Y	Creedence Clearwater Revival		6			60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Have You Ever Seen the Rain	Y	Creedence Clearwater Revival		6			60-70												yes
				Susie-Q	Y	Creedence Clearwater Revival		6															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				I Heard it Through the Grapevine	Y	Creedence Clearwater Revival ^^ Marvin Gaye ^^ Gladys Knight and the Pips		6 ^^ 7			60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Proud Mary	Y	Creedence Clearwater Revival ^^ Tina Turner		6			60-70												yes
				Suite: Judy Blue Eyes	Y	Crosby, Stills & Nash		6															CRF
PRF 4th only				Love The One You're With		Crosby, Stills and Nash																	PRF 4th (don't have)
PRF 3rd only				(I Just) Died in Your Arms		Cutting Crew		1986				Rock											PRF
				Girls Just Want To Have Fun	Y	Cyndi Lauper		1983				Pop											PRF
				True Colors		Cyndi Lauper																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Get Lucky	Y	Daft Punk		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Wagon Wheel	Y	Darius Rucker		0			00s												yes
05/14/16 Fleischman party	X			Wagon Wheel	Y	Darius Rucker ^^ Old Crow Medicine Show	Old Crow Medicine Show	10					X										
				Rebel, Rebel	Y	David Bowie		7															CRF
				Space Oddity	Y	David Bowie		7															CRF
				Young Americans	Y	David Bowie		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Titanium	Y	David Guetta		1			10s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Breakfast at Tiffany's	Y	Deep Blue Something		9			90s												yes
				Hush	Y	Deep Purple		6															CRF
				Smoke On The Water	Y	Deep Purple		7															CRF
				Pour Some Sugar on Me	Y	Def Leppard																	
Tuzzy Braddy/Tuz Piano 6/7/16				Roll To Me	Y	Del Amitri		9			90s												yes
				Let's Hear It For The Boy	Y	Deniece Williams		8															RBF
				Layla	Y	Derek and the Dominoes ^^ Eric Clapton		7					X										CRF
				Bills, Bills, Bills	Y	Destiny’s Child		1999					X										RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Come On Eileen	Y	Dexy's Midnight Runners		8			80s	Classic rock											yes
				Love Child		Diana Ross & The Supremes																	RBF
				Abraham, Martin And John		Dick Holler		1968															PRF
05/14/16 Fleischman party	X			I Say A Little Prayer For You	Y	Dionne Warwick																	
				What The World Needs Now Is Love	Y	Dionne Warwick		6															PRF
				Beauty And The Beast	Y	Disney		Disney ^^ 9			Disney ^^ 9	Disney											PRF
				Colors Of The Wind	Y	Disney		Disney ^^ 9			Disney ^^ 9	Disney											PRF
Tuzzy Braddy/Tuz Piano 6/7/16				The General	Y	Dispatch		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Drift Away	Y	Dobie Grey		7			60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Everything Falls Apart	Y	Dog's Eye View		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Desperado	Y	Don Henley		7			70s	Classic Rock											yes
Tuzzy Braddy/Tuz Piano 6/7/16				Boys of Summer	Y	Don Henley ^^ The Ataris		7 ^^ 0			80s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				American Pie	Y	Don McLean		7			70s	Classic Rock											yes
				Hot Stuff	Y	Donna Summer																	PRF
				Hurdy Gurdy Man		Donovan																	CRF
				Mellow Yellow	Y	Donovan																	CRF
				Sunshine Superman		Donovan																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Save Tonight	Y	Eagle Eye Cherry		9			90s												yes
				Best Of My Love		Eagles																	CRF
05/07/16 Irizarry wedding	X	A		Hotel California	Y	Eagles		7			70s	Classic Rock	X										LC
				New Kid In Town		Eagles																	CRF
				Victim Of Love		Eagles																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Take It Easy	Y	Eagles, the		7			70s												yes
				Boogie Wonderland		Earth, Wind & Fire																	RBF
				Let's Groove	Y	Earth, Wind & Fire																	RBF
				September	Y	Earth, Wind and Fire		7					X										RBF
PRF 4th only				Frankenstein	Y	Edgar Winter Group		1973															PRF
				Free Ride	Y	Edgar Winter Group		2004				Rock											CRF
PRF 4th only				I'll Be	Find	Edward McCain		9															PRF 4th (don't have)
				Don't Bring Me Down	Y	Electric Light Orchestra		1979															CRF
				Evil Woman	Y	Electric Light Orchestra		1975				Rock											CRF
				Sweet Talkin' Woman		Electric Light Orchestra																	CRF
PRF 3rd only				Bennie and the Jets	Y	Elton John		1973				Glam rock, Rock, Pop											PRF
				Can You Feel The Love Tonight	Y	Elton John		Disney ^^ 1994			Disney ^^ 9	Disney											PRF
PRF 3rd only				Candle in the Wind	Y	Elton John		1973				Rock, Pop											PRF
PRF 3rd only				Crocodile Rock	Y	Elton John		1973				Classic Rock											PRF
PRF 3rd only				Daniel	Y	Elton John		1973				Classic Rock											PRF
				Don't Let The Sun Go Down On Me	Y	Elton John																	CRF
PRF 3rd only				Goodbye Yellow Brick Road	Y	Elton John		1973				Rock, Pop											PRF
PRF 3rd only				Honky Cat	Y	Elton John		7															PRF
				Island Girl		Elton John																	CRF
05/14/16 Fleischman party				Levon	Y	Elton John		7														X	PV
				Philadelphia Freedom		Elton John																	CRF
PRF 3rd only				Rocket Man	Y	Elton John																	PRF
				Someone Saved My Life Tonight		Elton John																	CRF
				Sorry Seems To Be The Hardest Word		Elton John																	CRF
				The Bitch Is Back	Y	Elton John		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Tiny Dancer	Y	Elton John		7			70s												yes
PRF 3rd only				Your Song	Y	Elton John		7															PRF
				Can't Help Falling In Love	Y	Elvis Presley		1961				Rock											PRF
				Heartbreak Hotel	Y	Elvis Presley		6															PRF
				Hound Dog	Y	Elvis Presley		6															PRF
PRF 4th only				Jailhouse Rock	Y	Elvis Presley		6															PRF 4th (don't have)
				Love Me Tender	Y	Elvis Presley		6															PRF
				(Let Me Be Your) Teddy Bear		Elvis Presley?																	PRF
				(You're The) Devil In Disguise		Elvis Presley?		1963															PRF
				A Big Hunk O' Love		Elvis Presley?																	PRF
				Bell Bottom Blues	Y	Eric Clapton		1970				Classic rock											CRF
				Change The World	Y	Eric Clapton		9			90s												PRF
				Comin' Home		Eric Clapton																	CRF
				Cocaine	Y	Eric Clapton		1977				Classic rock											CRF
				I Can't Stand It		Eric Clapton																	CRF
				Lay Down Sally	Y	Eric Clapton																	CRF
				Let It Rain		Eric Clapton																	CRF
				Tears In Heaven	Y	Eric Clapton		9															CRF
				Willie And The Hand Jive		Eric Clapton																	CRF
				Wonderful Tonight	Y	Eric Clapton		7															CRF
				Sweet Dreams (Are Made Of This)	Y	Eurythmics ^^ Marilyn Manson		8 ^^ 9															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Inside Out	Y	Eve 6		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Santa Monica	Y	Everclear		9			90s												yes
PRF 3rd only				Missing	Y	Everything But the Girl		9															PRF
				Kiss You All Over		Exile																	CRF
				Blueberry Hill		Fats Domino																	RBF
				Kansas City	Y	Fats Domino ^^ Wilbert Harrison	Wilbert Harrison	1959															RBF
				Don't Stop	Y	Fleetwood Mac		1977				Classic rock											CRF
				Dreams	Y	Fleetwood Mac		1977				Classic rock											CRF
				Over My Head		Fleetwood Mac																	CRF
				Rhiannon	Y	Fleetwood Mac		7															CRF
				Say You Love Me		Fleetwood Mac																	CRF
				You Make Lovin' Fun	Y	Fleetwood Mac		7															CRF
05/07/16 Irizarry wedding	X	B		As time goes by	Y	Frank Sinatra					Standards	Standards											FB
				My Way	Y	Frank Sinatra																	RBF
05/14/16 Fleischman party	X			New York, New York	Y	Frank Sinatra							X										
				Started with a Beer	Y	Frankie Ballard		10						X	Etzel (07/02/2016)								
05/07/16 Irizarry wedding		B		Some Nights	Y	Fun		1			10s	Pop											LS
05/07/16 Irizarry wedding				We are Young	Y	Fun		10								X	doc	done (ARO)		Tuz polishing			LS
Tuzzy Braddy/Tuz Piano 6/7/16				Friends in Low Places	Y	Garth Brooks		9			90s												yes
				Rock & Roll - Part II (The Hey Song)		Gary Glitter																	CRF
				Invisible Touch		Genesis																	CRF
				Land Of Confusion		Genesis																	CRF
				Dark Horse		George Harrison																	CRF
				Got My Mind Set On You	Y	George Harrison		1987				Classic rock											CRF
				My Sweet Lord	Y	George Harrison		7															PRF
05/14/16 Fleischman party	X			Faith	Y	George Michael		8					X										
				Wake Me Up Before You Go-Go	Y	George Michael ^^ Wham!	Wham!	8															PRF
05/14/16 Fleischman party	X			Hey Jealousy	Y	Gin Blossoms		9				Alternative/Indie, Rock, Pop											
				If I Were Your Woman		Gladys Knight & The Pips																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16				I Will Survive	Y	Gloria Gaynor		7			80s												yes
				Both To Each Other (Friends and Lovers)		Gloria Loring & Carl Anderson																	RBF
				Radar Love	Y	Golden Earring		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Touch of Grey	Y	Grateful Dead		8			80s												yes
